,Subject,Condition,nR_S1,nR_S2
0,sub_0019,Extero,6,0
1,sub_0019,Extero,12,0
2,sub_0019,Extero,5,4
3,sub_0019,Extero,8,3
4,sub_0019,Extero,7,2
5,sub_0019,Extero,1,10
6,sub_0019,Extero,0,8
7,sub_0019,Extero,0,14
0,sub_0019,Intero,7,8
1,sub_0019,Intero,2,10
2,sub_0019,Intero,1,9
3,sub_0019,Intero,1,6
4,sub_0019,Intero,0,12
5,sub_0019,Intero,0,11
6,sub_0019,Intero,1,7
7,sub_0019,Intero,0,5
0,sub_0020,Extero,8,0
1,sub_0020,Extero,6,3
2,sub_0020,Extero,4,6
3,sub_0020,Extero,2,10
4,sub_0020,Extero,2,6
5,sub_0020,Extero,3,6
6,sub_0020,Extero,1,11
7,sub_0020,Extero,0,12
0,sub_0020,Intero,11,0
1,sub_0020,Intero,12,0
2,sub_0020,Intero,8,0
3,sub_0020,Intero,9,0
4,sub_0020,Intero,10,0
5,sub_0020,Intero,12,0
6,sub_0020,Intero,7,1
7,sub_0020,Intero,6,4
0,sub_0022,Extero,18,0
1,sub_0022,Extero,8,0
2,sub_0022,Extero,6,0
3,sub_0022,Extero,4,3
4,sub_0022,Extero,6,4
5,sub_0022,Extero,1,9
6,sub_0022,Extero,0,10
7,sub_0022,Extero,0,10
0,sub_0022,Intero,10,0
1,sub_0022,Intero,8,1
2,sub_0022,Intero,9,0
3,sub_0022,Intero,12,0
4,sub_0022,Intero,6,2
5,sub_0022,Intero,6,4
6,sub_0022,Intero,0,9
7,sub_0022,Intero,0,12
0,sub_0023,Extero,7,1
1,sub_0023,Extero,7,6
2,sub_0023,Extero,4,4
3,sub_0023,Extero,4,6
4,sub_0023,Extero,4,6
5,sub_0023,Extero,4,7
6,sub_0023,Extero,1,7
7,sub_0023,Extero,0,12
0,sub_0023,Intero,8,1
1,sub_0023,Intero,8,0
2,sub_0023,Intero,14,0
3,sub_0023,Intero,7,1
4,sub_0023,Intero,10,1
5,sub_0023,Intero,6,0
6,sub_0023,Intero,7,6
7,sub_0023,Intero,7,4
0,sub_0024,Extero,8,2
1,sub_0024,Extero,7,8
2,sub_0024,Extero,2,8
3,sub_0024,Extero,1,14
4,sub_0024,Extero,3,2
5,sub_0024,Extero,1,6
6,sub_0024,Extero,0,7
7,sub_0024,Extero,0,11
0,sub_0024,Intero,10,1
1,sub_0024,Intero,7,3
2,sub_0024,Intero,5,3
3,sub_0024,Intero,7,6
4,sub_0024,Intero,0,7
5,sub_0024,Intero,1,9
6,sub_0024,Intero,0,11
7,sub_0024,Intero,0,9
0,sub_0025,Extero,14,0
1,sub_0025,Extero,10,0
2,sub_0025,Extero,4,1
3,sub_0025,Extero,7,4
4,sub_0025,Extero,5,4
5,sub_0025,Extero,3,10
6,sub_0025,Extero,3,9
7,sub_0025,Extero,0,6
