Subject,Modality,Threshold,Slope,BayesianThreshold,BayesianSlope,r_hat_alpha,r_hat_beta
sub_0019,Intero,6.575888194065048,8.11915181459257,7.161,9.622,1.0,1.0
sub_0019,Extero,1.6902947849825714,7.368705151371689,1.813,7.465,1.0,1.0
sub_0022,Intero,-29.63187675764548,10.531887854770382,-30.526,8.612,1.0,1.0
sub_0022,Extero,,,-2.218,2.81,1.0,1.0
sub_0023,Intero,-12.944477638582935,9.548980700947324,-10.398,10.341,1.0,1.0
sub_0023,Extero,5.103926382451795,8.101404956793356,4.258,7.175,1.0,1.0
sub_0024,Intero,4.813948675369835,21.98334078668384,0.65,28.089,1.0,1.0
sub_0024,Extero,2.7640467896176872,6.6050653907394254,1.727,8.003,1.0,1.0
sub_0025,Intero,-24.21137151709096,11.690810683354854,-24.329,12.312,1.0,1.0
sub_0025,Extero,-6.479038988234702,11.400357351889939,-7.245,11.161,1.0,1.0
sub_0026,Intero,-3.9701476403464095,15.624781095825947,1.181,8.126,1.0,1.0
sub_0026,Extero,-2.4948754873959365,5.764769576327058,-2.367,5.578,1.0,1.0
sub_0027,Intero,,,-1.642,14.541,1.0,1.0
sub_0027,Extero,0.6196505421762822,4.345056972248056,0.55,4.19,1.0,1.0
sub_0028,Intero,-9.32734909958182,14.441185795126188,-7.934,10.867,1.0,1.0
sub_0028,Extero,-3.55874875199077,10.98713115973808,-3.126,10.179,1.0,1.0
sub_0031,Intero,-17.786959248707188,11.255731161759119,-17.694,12.537,1.0,1.0
sub_0031,Extero,-0.9861637770457172,9.34841744685306,-1.766,7.784,1.0,1.0
sub_0032,Intero,2.2952069612099715,14.214041886331156,-2.663,11.437,1.0,1.0
sub_0032,Extero,-2.8569670981025164,8.732263311411122,-2.439,8.409,1.0,1.0
sub_0034,Intero,,,-17.131,20.257,1.0,1.0
sub_0034,Extero,-4.9055648931461375,9.2243570123525,-4.626,8.911,1.0,1.0
sub_0035,Intero,-14.357731878674608,11.736970764232554,-14.575,9.965,1.0,1.0
sub_0035,Extero,-8.180129386398269,14.283620661737325,-7.172,13.067,1.0,1.0
sub_0037,Intero,-11.443949123969464,13.825835864065885,-10.886,10.685,1.0,1.0
sub_0037,Extero,-2.468251889404586,10.685914520390645,-4.016,7.925,1.0,1.0
sub_0038,Intero,,,-25.919,12.012,1.0,1.0
sub_0038,Extero,,,-1.284,14.981,1.0,1.0
sub_0039,Intero,,,-4.669,15.279,1.0,1.0
sub_0039,Extero,1.6977377559528446,7.4611106293287675,0.034,10.662,1.0,1.0
sub_0042,Intero,-15.358849715639545,10.38504228045394,-14.1,9.204,1.0,1.0
sub_0042,Extero,-2.7268082403106435,9.80597371981373,-3.774,10.813,1.0,1.0
sub_0044,Intero,-9.662638755841575,16.62867498134763,-9.961,16.118,1.0,1.0
sub_0044,Extero,0.4365712893977445,8.004567988513214,0.351,7.667,1.0,1.0
sub_0045,Intero,6.52480109431717,7.794878537482058,7.379,8.574,1.0,1.0
sub_0045,Extero,2.5658348727067875,3.7627663663083433,2.56,3.743,1.0,1.0
sub_0046,Intero,,,-7.761,9.469,1.0,1.0
sub_0046,Extero,-6.975048711942887,18.864017194319786,-6.145,21.537,1.0,1.0
sub_0047,Intero,-26.48885453016836,22.604860868045954,-32.621,32.417,1.0,1.0
sub_0047,Extero,-4.788151716732332,7.009289403143088,-3.984,7.791,1.0,1.0
sub_0049,Intero,-23.17734338976038,6.5211335446403575,-22.471,7.639,1.0,1.0
sub_0049,Extero,-0.06888637529586875,13.14616055062343,-0.226,12.16,1.0,1.0
sub_0050,Intero,,,-34.523,7.968,1.0,1.0
sub_0050,Extero,6.104644438442099,18.480551426791376,5.465,18.185,1.0,1.0
sub_0052,Intero,6.150932976708168,5.483796885362077,5.874,4.081,1.0,1.0
sub_0052,Extero,-2.0585590183365983,5.721699329691316,-2.439,4.718,1.0,1.0
sub_0056,Intero,-18.116696498116507,8.883209297964086,-18.352,9.242,1.0,1.0
sub_0056,Extero,-1.4442166413197322,8.554572303071486,-0.55,9.158,1.0,1.0
sub_0057,Intero,-7.9474238403813375,10.173566747106992,-6.043,8.056,1.0,1.0
sub_0057,Extero,,,-1.867,7.027,1.0,1.0
sub_0058,Intero,-19.32101198883431,12.906381263874742,-20.875,18.97,1.0,1.0
sub_0058,Extero,-1.9606343304781748,5.0468213847171866,-1.927,4.883,1.0,1.0
sub_0059,Intero,-2.7440750085344905,7.739687504224044,-2.397,6.086,1.0,1.0
sub_0059,Extero,1.3709178331542962,2.9835734729408854,1.191,3.204,1.0,1.0
sub_0060,Intero,-10.44378420881128,12.645063655990047,-13.122,9.257,1.0,1.0
sub_0060,Extero,2.4312010283103342,4.470861365366684,2.377,4.375,1.0,1.0
sub_0061,Intero,,,-12.007,8.078,1.0,1.0
sub_0061,Extero,-1.1733684818774837,11.48679978373424,-1.039,9.813,1.0,1.0
sub_0063,Intero,,,-11.343,15.626,1.0,1.0
sub_0063,Extero,1.8579529450484016,6.728707612541489,1.808,6.453,1.0,1.0
sub_0064,Intero,,,-2.156,4.11,1.0,1.0
sub_0064,Extero,1.4592748239247209,6.486619946809611,1.185,6.195,1.0,1.0
sub_0065,Intero,-16.96306694654517,11.278837381069767,-18.728,10.814,1.0,1.0
sub_0065,Extero,-1.9244117411215949,11.47649098447336,-2.604,10.992,1.0,1.0
sub_0066,Intero,-22.655016741686826,12.600654124830205,-22.878,9.322,1.0,1.0
sub_0066,Extero,-0.19896343279447626,6.369096853026319,-0.151,6.116,1.0,1.0
sub_0067,Intero,,,-4.459,22.819,1.0,1.0
sub_0067,Extero,,,-2.266,9.16,1.0,1.0
sub_0068,Intero,2.9979299630113028,9.787781953761675,1.544,10.655,1.0,1.0
sub_0068,Extero,,,2.883,5.805,1.0,1.0
sub_0070,Intero,3.619562878889733,7.902450706197947,3.022,7.891,1.0,1.0
sub_0070,Extero,,,4.421,8.492,1.0,1.0
sub_0071,Intero,-4.895668721783716,9.150076573442325,-4.488,9.936,1.0,1.0
sub_0071,Extero,,,-0.323,6.218,1.0,1.0
sub_0072,Intero,-21.195270409023454,10.230654144912258,-21.148,9.156,1.0,1.0
sub_0072,Extero,,,-3.212,8.328,1.0,1.0
sub_0073,Intero,,,-10.128,4.605,1.0,1.0
sub_0073,Extero,-2.375849168001886,5.902489472983,-2.546,5.653,1.0,1.0
sub_0074,Intero,-9.44501992957014,20.146926359906907,-15.05,27.908,1.0,1.0
sub_0074,Extero,0.6476910241750646,6.048271818692157,-0.162,7.255,1.0,1.0
sub_0076,Intero,,,-13.469,12.145,1.0,1.0
sub_0076,Extero,0.6890991090500637,9.008492340033378,1.357,9.333,1.0,1.0
sub_0078,Intero,13.737117920317587,6.643948765887469,14.605,5.9,1.0,1.0
sub_0078,Extero,3.2421736460773367,7.935033724936551,2.033,8.932,1.0,1.0
sub_0079,Intero,-24.22651080949932,9.005259638155174,-20.933,9.859,1.0,1.0
sub_0079,Extero,-3.0683299974027687,12.37326577322855,-3.606,10.265,1.0,1.0
sub_0080,Intero,-4.733619917674316,8.007795261688969,-5.926,8.368,1.0,1.0
sub_0080,Extero,2.736765627950517,6.880568483526107,3.28,5.906,1.0,1.0
sub_0081,Intero,-20.58477929716093,9.801697495304033,-20.978,9.829,1.0,1.0
sub_0081,Extero,-15.707955229368613,23.23946666478443,-11.323,29.181,1.0,1.0
sub_0082,Intero,15.456212387072823,13.418642235136677,13.596,10.855,1.0,1.0
sub_0082,Extero,5.8812918865427015,5.472780396213837,6.315,5.976,1.0,1.0
sub_0083,Intero,-16.20799122374769,9.785093584747447,-17.935,10.866,1.0,1.0
sub_0083,Extero,7.523062110763309,17.903835583334715,7.517,17.703,1.0,1.0
sub_0084,Intero,-15.859529302823725,7.552510810032272,-14.304,3.747,1.0,1.0
sub_0084,Extero,-1.2644268954409121,3.2165803871594005,-1.358,3.223,1.0,1.0
sub_0085,Intero,-13.23938830251784,6.043837286018277,-12.592,6.247,1.0,1.0
sub_0085,Extero,-2.7181420685488766,12.514404939249735,0.182,16.813,1.0,1.0
sub_0086,Intero,-13.12324642866384,11.644562453990153,-10.714,9.526,1.0,1.0
sub_0086,Extero,-0.22773739479326605,6.611976279774995,-0.268,6.402,1.0,1.0
sub_0087,Intero,-6.0405730898898495,9.353764832570489,-4.436,9.154,1.0,1.0
sub_0087,Extero,6.185484508907182,8.445873889955104,6.709,13.873,1.0,1.0
