,Subject,Session,Modality,Stimuli,Accuracy,Responses,Confidence,ConfidenceRaw
0,sub_0019,Del1,Extero,False,True,False,4,94.0
1,sub_0019,Del1,Extero,True,True,True,4,100.0
3,sub_0019,Del1,Extero,True,True,True,2,61.0
5,sub_0019,Del1,Extero,False,True,False,2,66.0
7,sub_0019,Del1,Extero,False,True,False,1,17.0
8,sub_0019,Del1,Extero,True,True,True,1,22.0
11,sub_0019,Del1,Extero,False,True,False,4,99.0
12,sub_0019,Del1,Extero,True,True,True,4,100.0
13,sub_0019,Del1,Extero,False,True,False,1,20.0
18,sub_0019,Del1,Extero,True,True,True,2,70.0
22,sub_0019,Del1,Extero,False,True,False,3,75.0
24,sub_0019,Del1,Extero,True,False,False,1,10.0
28,sub_0019,Del1,Extero,True,True,True,2,57.0
29,sub_0019,Del1,Extero,True,True,True,4,100.0
30,sub_0019,Del1,Extero,True,False,False,2,39.0
32,sub_0019,Del1,Extero,True,True,True,2,54.0
36,sub_0019,Del1,Extero,False,False,True,1,22.0
37,sub_0019,Del1,Extero,True,True,True,2,57.0
38,sub_0019,Del1,Extero,True,False,False,2,38.0
43,sub_0019,Del1,Extero,False,True,False,4,97.0
48,sub_0019,Del1,Extero,True,True,True,2,60.0
49,sub_0019,Del1,Extero,False,True,False,4,100.0
50,sub_0019,Del1,Extero,True,True,True,1,32.0
51,sub_0019,Del1,Extero,False,True,False,3,90.0
52,sub_0019,Del1,Extero,True,True,True,2,65.0
54,sub_0019,Del1,Extero,True,False,False,2,63.0
55,sub_0019,Del1,Extero,False,False,True,2,67.0
56,sub_0019,Del1,Extero,True,False,False,1,34.0
57,sub_0019,Del1,Extero,True,False,False,1,21.0
59,sub_0019,Del1,Extero,False,True,False,3,83.0
61,sub_0019,Del1,Extero,True,True,True,4,99.0
69,sub_0019,Del1,Extero,True,True,True,4,100.0
70,sub_0019,Del1,Extero,False,True,False,1,30.0
72,sub_0019,Del1,Extero,True,True,True,3,77.0
76,sub_0019,Del1,Extero,False,True,False,1,11.0
79,sub_0019,Del1,Extero,True,True,True,3,85.0
80,sub_0019,Del1,Extero,False,True,False,2,60.0
82,sub_0019,Del1,Extero,True,False,False,2,46.0
83,sub_0019,Del1,Extero,True,True,True,2,65.0
84,sub_0019,Del1,Extero,True,True,True,2,45.0
85,sub_0019,Del1,Extero,True,True,True,4,93.0
88,sub_0019,Del1,Extero,False,False,True,1,17.0
89,sub_0019,Del1,Extero,False,True,False,1,25.0
91,sub_0019,Del1,Extero,False,False,True,1,29.0
94,sub_0019,Del1,Extero,False,True,False,3,80.0
96,sub_0019,Del1,Extero,False,True,False,3,74.0
97,sub_0019,Del1,Extero,True,True,True,4,96.0
100,sub_0019,Del1,Extero,True,True,True,4,99.0
104,sub_0019,Del1,Extero,False,False,True,1,8.0
105,sub_0019,Del1,Extero,False,True,False,2,68.0
107,sub_0019,Del1,Extero,False,True,False,3,90.0
108,sub_0019,Del1,Extero,True,True,True,3,86.0
109,sub_0019,Del1,Extero,False,True,False,1,32.0
110,sub_0019,Del1,Extero,True,True,True,4,100.0
112,sub_0019,Del1,Extero,False,False,True,1,0.0
113,sub_0019,Del1,Extero,False,True,False,4,95.0
116,sub_0019,Del1,Extero,False,False,True,1,31.0
120,sub_0019,Del1,Extero,False,True,False,3,91.0
123,sub_0019,Del1,Extero,False,True,False,3,72.0
124,sub_0019,Del1,Extero,True,True,True,3,75.0
128,sub_0019,Del1,Extero,True,True,True,3,92.0
130,sub_0019,Del1,Extero,False,True,False,3,83.0
131,sub_0019,Del1,Extero,True,True,True,4,93.0
134,sub_0019,Del1,Extero,False,True,False,2,66.0
136,sub_0019,Del1,Extero,True,True,True,4,99.0
139,sub_0019,Del1,Extero,False,True,False,3,83.0
141,sub_0019,Del1,Extero,True,True,True,4,95.0
142,sub_0019,Del1,Extero,False,True,False,4,96.0
144,sub_0019,Del1,Extero,True,True,True,3,89.0
146,sub_0019,Del1,Extero,False,True,False,3,75.0
147,sub_0019,Del1,Extero,True,True,True,2,69.0
149,sub_0019,Del1,Extero,False,True,False,1,19.0
150,sub_0019,Del1,Extero,True,True,True,3,90.0
151,sub_0019,Del1,Extero,True,True,True,3,71.0
152,sub_0019,Del1,Extero,False,True,False,3,77.0
153,sub_0019,Del1,Extero,True,True,True,4,95.0
154,sub_0019,Del1,Extero,False,False,True,1,19.0
155,sub_0019,Del1,Extero,False,True,False,2,50.0
156,sub_0019,Del1,Extero,True,True,True,4,95.0
157,sub_0019,Del1,Extero,False,True,False,1,25.0
2,sub_0019,Del1,Intero,True,True,True,4,98.0
4,sub_0019,Del1,Intero,False,True,False,4,100.0
6,sub_0019,Del1,Intero,True,True,True,2,32.0
9,sub_0019,Del1,Intero,False,True,False,3,67.0
10,sub_0019,Del1,Intero,False,True,False,3,55.0
14,sub_0019,Del1,Intero,True,True,True,2,31.0
15,sub_0019,Del1,Intero,False,True,False,3,68.0
16,sub_0019,Del1,Intero,True,True,True,1,2.0
17,sub_0019,Del1,Intero,True,True,True,2,35.0
19,sub_0019,Del1,Intero,False,True,False,2,39.0
20,sub_0019,Del1,Intero,True,True,True,2,50.0
23,sub_0019,Del1,Intero,False,True,False,4,99.0
25,sub_0019,Del1,Intero,False,True,False,4,100.0
26,sub_0019,Del1,Intero,False,True,False,4,72.0
27,sub_0019,Del1,Intero,False,True,False,1,0.0
33,sub_0019,Del1,Intero,True,True,True,4,76.0
34,sub_0019,Del1,Intero,True,True,True,1,19.0
35,sub_0019,Del1,Intero,True,False,False,4,80.0
39,sub_0019,Del1,Intero,True,False,False,3,59.0
40,sub_0019,Del1,Intero,True,False,False,4,73.0
42,sub_0019,Del1,Intero,True,True,True,2,43.0
46,sub_0019,Del1,Intero,True,True,True,2,34.0
47,sub_0019,Del1,Intero,True,False,False,3,55.0
58,sub_0019,Del1,Intero,True,False,False,4,81.0
60,sub_0019,Del1,Intero,True,True,True,3,57.0
63,sub_0019,Del1,Intero,False,True,False,4,100.0
64,sub_0019,Del1,Intero,True,False,False,3,62.0
65,sub_0019,Del1,Intero,True,True,True,1,7.0
66,sub_0019,Del1,Intero,False,True,False,4,91.0
67,sub_0019,Del1,Intero,True,False,False,1,9.0
68,sub_0019,Del1,Intero,True,False,False,2,29.0
71,sub_0019,Del1,Intero,True,True,True,1,21.0
74,sub_0019,Del1,Intero,True,False,False,3,61.0
75,sub_0019,Del1,Intero,True,False,False,1,3.0
77,sub_0019,Del1,Intero,True,False,False,4,85.0
78,sub_0019,Del1,Intero,True,False,False,3,62.0
81,sub_0019,Del1,Intero,True,True,True,3,61.0
86,sub_0019,Del1,Intero,True,False,False,2,29.0
87,sub_0019,Del1,Intero,True,True,True,1,3.0
90,sub_0019,Del1,Intero,True,False,False,4,69.0
93,sub_0019,Del1,Intero,True,False,False,4,100.0
95,sub_0019,Del1,Intero,True,False,False,4,82.0
98,sub_0019,Del1,Intero,True,False,False,3,63.0
102,sub_0019,Del1,Intero,True,False,False,2,43.0
