,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_mean,ess_sd,ess_bulk,ess_tail,r_hat
"mRatio[0,0,0]",1.13,0.19,0.81,1.53,0.01,0.01,304.59,289.5,315.17,526.85,1.01
"mRatio[0,1,0]",0.57,0.18,0.25,0.9,0.01,0.01,426.69,426.69,410.2,924.77,1.0
"mRatio[1,0,0]",1.35,0.29,0.84,1.86,0.02,0.01,273.89,266.09,286.73,639.54,1.01
"mRatio[1,1,0]",0.97,0.31,0.43,1.54,0.02,0.01,260.61,260.61,261.15,635.59,1.02
"mRatio[2,0,0]",1.2,0.18,0.87,1.53,0.01,0.01,204.7,203.53,207.5,569.5,1.01
"mRatio[2,1,0]",0.82,0.18,0.48,1.16,0.02,0.01,140.72,140.72,141.09,732.78,1.02
"mRatio[3,0,0]",1.13,0.23,0.73,1.58,0.01,0.01,408.35,408.35,375.93,712.31,1.01
"mRatio[3,1,0]",0.79,0.29,0.29,1.31,0.01,0.01,506.78,506.78,455.79,633.94,1.02
"mRatio[4,0,0]",1.27,0.33,0.76,1.91,0.02,0.01,321.42,321.42,350.4,424.92,1.0
"mRatio[4,1,0]",0.61,0.16,0.28,0.9,0.01,0.01,391.59,391.59,376.14,181.33,1.01
"mRatio[5,0,0]",1.03,0.17,0.73,1.38,0.01,0.01,384.91,361.56,395.14,474.55,1.01
"mRatio[5,1,0]",0.78,0.32,0.28,1.4,0.02,0.02,168.19,167.43,181.82,338.81,1.02
"mRatio[6,0,0]",0.96,0.18,0.6,1.26,0.01,0.01,271.91,271.91,267.27,436.14,1.01
"mRatio[6,1,0]",0.4,0.12,0.19,0.62,0.0,0.0,628.27,628.27,597.73,825.08,1.01
"mRatio[7,0,0]",0.88,0.12,0.65,1.1,0.01,0.0,382.04,382.04,381.88,845.61,1.01
"mRatio[7,1,0]",0.83,0.29,0.34,1.37,0.02,0.01,345.77,345.77,326.51,603.73,1.01
"mRatio[8,0,0]",1.07,0.26,0.64,1.54,0.01,0.01,368.85,368.85,365.97,606.18,1.01
"mRatio[8,1,0]",0.59,0.23,0.18,1.02,0.01,0.01,349.5,349.5,337.89,498.75,1.01
"mRatio[9,0,0]",0.87,0.14,0.59,1.14,0.01,0.0,579.62,579.62,575.38,1089.01,1.0
"mRatio[9,1,0]",0.94,0.35,0.32,1.58,0.02,0.01,325.0,325.0,309.49,333.26,1.01
"mRatio[10,0,0]",0.88,0.14,0.61,1.13,0.01,0.0,482.01,478.01,491.41,877.32,1.01
"mRatio[10,1,0]",0.81,0.28,0.29,1.32,0.02,0.01,324.68,324.68,319.83,800.41,1.0
"mRatio[11,0,0]",1.08,0.24,0.65,1.53,0.01,0.01,562.74,562.74,573.18,944.32,1.01
"mRatio[11,1,0]",0.86,0.37,0.23,1.53,0.02,0.01,421.17,421.17,410.1,779.3,1.0
"mRatio[12,0,0]",1.16,0.18,0.84,1.48,0.01,0.01,344.09,344.09,344.31,632.2,1.0
"mRatio[12,1,0]",0.94,0.46,0.27,1.78,0.03,0.02,326.11,326.11,325.78,538.77,1.0
"mRatio[13,0,0]",0.9,0.13,0.66,1.15,0.01,0.01,335.7,335.7,335.44,961.43,1.02
"mRatio[13,1,0]",0.6,0.22,0.22,1.02,0.01,0.01,328.96,328.96,254.99,162.32,1.01
