Condition,Modality,StairCond,Estimation,EstimationRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,EstimationProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger,DecisionRT,Decision,TrialType,HeartRateOutlier
Less,Extero,low,Less,1.4997543999998015,65.0,1.7664253999992066,-40.5,71.0,30.5,1.0,True,True,0,18.74234350412591,10.050538125005668,1599819720.5349367,1599819725.6783347,1599819727.7195234,1599819727.7354805,1599819729.7355578,1599819729.8173733,1.4997543999998015,Less,low,False
Less,Intero,low,Less,1.9991030999990471,68.0,1.6880371000006562,-40.5,66.0,25.5,1.0,True,True,1,18.74234350412591,10.050538125005668,1599819730.1859152,1599819735.5151818,1599819738.0527256,1599819738.0706775,1599819739.986276,1599819740.0725515,1.9991030999990471,Less,low,False
More,Intero,high,More,1.4492587999993702,71.0,1.0374439999995957,40.5,63.0,103.5,1.0,True,True,2,8.632936706484973,10.331513975699828,1599819740.4530272,1599819745.772506,1599819747.7702024,1599819747.7891245,1599819749.0525491,1599819749.1233935,1.4492587999993702,More,high,False
Less,Intero,low,Less,2.7654783000016323,26.0,0.7676551999993535,-20.5,62.0,41.5,1.0,True,True,3,15.525312128118761,10.117216235355631,1599819749.5031836,1599819754.8171813,1599819758.137595,1599819758.1595366,1599819759.1533082,1599819759.2151742,2.7654783000016323,Less,low,False
More,Extero,high,More,1.2319532000001343,86.0,0.7486840999990818,40.5,41.5,82.0,1.0,True,True,4,8.632936706484973,10.331513975699828,1599819759.586712,1599819767.7426133,1599819769.5201752,1599819769.5453491,1599819770.5208118,1599819770.5866365,1.2319532000001343,More,high,False
Less,Extero,low,Less,1.781839500001297,66.0,1.1135632000004991,-20.5,88.0,67.5,1.0,True,True,5,15.525312128118761,10.117216235355631,1599819770.9699442,1599819775.1695373,1599819777.5047364,1599819777.5291426,1599819778.871041,1599819778.9583821,1.781839500001297,Less,low,False
More,Extero,high,More,1.5491199999996752,80.0,0.7461346000000049,20.5,85.0,105.5,1.0,True,True,6,11.019118277419066,9.405000577376814,1599819779.3370366,1599819783.6847,1599819785.7875047,1599819785.8144329,1599819786.7880704,1599819786.8608756,1.5491199999996752,More,high,False
More,Intero,high,More,3.3650612999990694,70.0,1.4604278999995586,20.5,62.0,82.5,1.0,True,True,7,11.019118277419066,9.405000577376814,1599819787.2371914,1599819792.5498211,1599819796.455101,1599819796.484026,1599819798.171485,1599819798.2911592,3.3650612999990694,More,high,False
Less,Intero,low,Less,2.3479984000005056,36.0,1.2403680000006716,-0.5,64.5,64.0,1.0,True,True,8,14.560177177233605,9.199605105082243,1599819798.6715364,1599819803.9866927,1599819806.8901875,1599819806.9221025,1599819808.3888485,1599819808.4980614,2.3479984000005056,Less,low,False
Less,Extero,low,More,3.7821194000007385,0.0,1.322702699999354,-0.5,85.0,84.5,0.0,True,True,9,7.544843815964044,9.606522287148016,1599819808.8717089,1599819813.258821,1599819817.5895607,1599819817.6234705,1599819819.1722846,1599819819.2964892,3.7821194000007385,More,low,False
More,Extero,high,Less,3.9151617999996233,0.0,0.6158475000011094,0.5,52.0,52.5,0.0,True,True,10,10.040157136632606,8.323424424720358,1599819819.6726446,1599819826.492802,1599819830.9563634,1599819830.9962494,1599819831.8387742,1599819831.92308,3.9151617999996233,Less,high,False
More,Intero,high,More,2.2140355999999883,60.0,1.5023393999999826,0.5,62.0,62.5,1.0,True,True,11,12.605541847609393,7.942474989049844,1599819832.3056798,1599819837.6264498,1599819840.3901694,1599819840.4270706,1599819842.1563356,1599819842.309925,2.2140355999999883,More,high,False
More,Intero,low,Less,6.3653247999991445,16.0,1.2977486999989196,19.5,63.5,83.0,0.0,True,True,12,14.123753082533117,6.7996321543966936,1599819842.6897118,1599819848.0094314,1599819854.924475,1599819854.9653654,1599819856.4896214,1599819856.6358006,6.3653247999991445,Less,low,False
Less,Intero,high,Less,2.1815995999986626,68.0,0.9796334000002388,-19.5,60.5,41.0,1.0,True,True,13,15.6974568791855,6.9071350406948895,1599819857.023515,1599819862.348501,1599819865.0739243,1599819865.1170175,1599819866.3237894,1599819866.4474585,2.1815995999986626,Less,high,False
Less,Extero,low,Less,2.6144076000000496,10.0,0.5079289000004792,-12.5,90.5,78.0,1.0,True,True,14,12.936567661281073,10.164806406420416,1599819866.8242915,1599819871.082268,1599819874.2414472,1599819874.2893193,1599819875.0240984,1599819875.1078634,2.6144076000000496,Less,low,False
Less,Intero,high,Less,3.7648260999994823,60.0,0.6892493000013928,-7.5,60.0,52.5,1.0,True,True,15,18.51378859763301,10.353453404901147,1599819875.4746056,1599819880.800835,1599819885.1089466,1599819885.1588118,1599819886.0742335,1599819886.179951,3.7648260999994823,Less,high,False
More,Extero,high,More,1.6143343999992794,66.0,0.9074344000000564,12.5,50.0,62.5,1.0,True,True,16,11.60959474755857,9.198453534290053,1599819886.5574965,1599819893.798925,1599819895.9600592,1599819896.0079315,1599819897.1419814,1599819897.278613,1.6143343999992794,More,high,False
More,Intero,low,More,1.6634282000013627,90.0,0.6677779000001465,39.5,78.0,117.5,1.0,True,True,17,17.102996765605322,9.1897500779398,1599819897.6578436,1599819902.9808257,1599819905.194177,1599819905.246543,1599819906.1413698,1599819906.2590828,1.6634282000013627,More,low,False
More,Intero,low,More,1.3630322999997588,82.0,0.6176479000005202,27.5,71.5,99.0,1.0,True,True,18,16.161257081088927,8.173282745982037,1599819906.6421535,1599819911.9661243,1599819913.8768325,1599819913.9311929,1599819914.7752633,1599819914.8869953,1.3630322999997588,More,low,False
More,Intero,high,More,3.2977298999994678,24.0,0.8960119000003033,4.5,62.0,66.5,1.0,True,True,19,15.525005258367669,7.302189570986795,1599819915.2590182,1599819920.5862136,1599819924.427165,1599819924.4860075,1599819925.6098027,1599819925.763392,3.2977298999994678,More,high,False
Less,Intero,high,Less,6.129668499999753,17.0,0.7623332000002847,-7.5,66.5,59.0,1.0,True,True,20,16.040904401062825,6.499097797917794,1599819926.1421466,1599819931.474952,1599819938.162186,1599819938.2210288,1599819939.2094824,1599819939.3540633,6.129668499999753,Less,high,False
More,Intero,low,Less,1.2664703999998892,0.0,1.866088499999023,15.5,77.0,92.5,0.0,True,True,21,17.709803631343,9.336696006663331,1599819956.377389,1599819961.6731062,1599819963.478865,1599819963.4838512,1599819965.5768564,1599819965.6187713,1.2664703999998892,Less,low,False
Less,Intero,high,More,2.6164174000005005,31.0,1.3324446999995416,-0.5,61.0,60.5,0.0,True,True,22,17.133673790998937,8.577937209842839,1599819965.994182,1599819971.293658,1599819974.4608245,1599819974.4688034,1599819976.0281026,1599819976.0710313,2.6164174000005005,More,high,False
More,Extero,high,Less,3.583090899999661,1.0,1.2123366999985592,0.5,58.0,58.5,0.0,True,True,23,12.610550404318762,8.32121469126494,1599819976.444537,1599819982.2935061,1599819986.42795,1599819986.4379325,1599819987.8783686,1599819987.9242759,3.583090899999661,Less,high,False
Less,Extero,low,More,3.4162598000002617,3.0,0.6784809999990102,-0.5,82.5,82.0,0.0,True,True,24,11.744825467724766,7.374155116037262,1599819988.2944849,1599819992.5836198,1599819996.545216,1599819996.5574534,1599819997.4620278,1599819997.5019147,3.4162598000002617,More,low,False
More,Extero,high,More,1.9330957000001945,59.0,0.6594525000000431,7.5,86.0,93.5,1.0,True,True,25,9.664260821676377,9.938363151566477,1599819997.8788698,1599820002.0321233,1599820004.5122724,1599820004.526235,1599820005.411866,1599820005.4527564,1.9330957000001945,More,high,False
More,Intero,low,More,1.2664141000004747,71.0,1.0748452999996516,27.5,61.5,89.0,1.0,True,True,26,16.73832892885784,7.927566131237179,1599820005.8290904,1599820011.1319885,1599820012.9458778,1599820012.9618359,1599820014.2624578,1599820014.3193386,1.2664141000004747,More,low,False
Less,Extero,low,Less,2.0329738000000357,54.0,1.390702099999544,-7.5,78.5,71.0,1.0,True,True,27,10.395695108931882,9.179356598591413,1599820014.6960852,1599820019.2192693,1599820021.7959194,1599820021.8128738,1599820023.4291766,1599820023.5009675,2.0329738000000357,Less,low,False
Less,Extero,low,Less,5.7002276000002885,7.0,0.8384182000008877,-3.5,78.0,74.5,1.0,True,True,28,12.477890220215526,11.762382047753995,1599820023.8799396,1599820028.456434,1599820034.6967154,1599820034.715665,1599820035.7799065,1599820035.8372588,5.7002276000002885,Less,low,False
More,Extero,high,Less,5.79939209999975,0.0,0.6502483000003849,3.5,75.0,78.5,0.0,True,True,29,14.828773081809631,13.758755623529456,1599820036.2127974,1599820040.968041,1599820047.3144276,1599820047.3363905,1599820048.21334,1599820048.272183,5.79939209999975,Less,high,False
More,Extero,high,Less,5.816177400000014,0.0,0.6150680999999167,6.5,74.5,81.0,0.0,True,True,30,17.22244934002844,15.067978661946302,1599820048.6474526,1599820053.462503,1599820059.8308187,1599820059.8547554,1599820060.6976435,1599820060.7584796,5.816177400000014,Less,high,False
More,Extero,low,Less,3.5992947000013373,1.0,1.0786188000001855,0.5,61.5,62.0,0.0,True,True,31,19.505008640710226,15.907615068801148,1599820061.1311104,1599820066.8649511,1599820071.0159676,1599820071.0423946,1599820072.3476324,1599820072.4369693,3.5992947000013373,Less,low,False
Less,Intero,high,Less,5.299671699998727,8.0,0.8437058999988949,-4.5,62.5,58.0,1.0,True,True,32,17.126766337193615,7.2968966366032815,1599820072.8142471,1599820078.1253505,1599820083.965553,1599820083.994476,1599820085.065162,1599820085.1469367,5.299671699998727,Less,high,False
