,Condition,Modality,StairCond,Estimation,EstimationRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,EstimationProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger,DecisionRT,Decision,TrialType
0,Less,Intero,low,Less,3.5667962000006814,100.0,0.9437772999990556,-40.5,63.5,23.0,1.0,True,True,0,18.74234350412591,10.050538125005668,1599826879.8821135,1599826885.1972606,1599826889.3164823,1599826889.3224535,1599826890.498978,1599826890.5298932,3.5667962000006814,Less,low
1,Less,Extero,low,Less,2.1663432999994257,100.0,1.1315742000006141,-40.5,99.0,58.5,1.0,True,True,1,18.74234350412591,10.050538125005668,1599826890.9160564,1599826894.5653596,1599826897.2829158,1599826897.2898974,1599826898.6502733,1599826898.6861966,2.1663432999994257,Less,low
2,More,Intero,high,More,2.81608640000195,100.0,1.2319803999998842,40.5,60.5,101.0,1.0,True,True,2,8.632936706484973,10.331513975699828,1599826899.066133,1599826904.3646204,1599826907.733116,1599826907.7420926,1599826909.1996696,1599826909.2448304,2.81608640000195,More,high
3,More,Intero,high,More,2.8993507999985013,73.0,1.5611754999990808,20.5,59.0,79.5,1.0,True,True,3,1.204454291414771,10.562480354975085,1599826909.6171212,1599826914.9153125,1599826918.3679152,1599826918.3789186,1599826920.1667664,1599826920.2245712,2.8993507999985013,More,high
4,Less,Intero,low,Less,4.432251800000814,81.0,1.4430742000004102,-20.5,59.0,38.5,1.0,True,True,4,5.825282268510243,9.363157884637694,1599826920.6005068,1599826926.0151925,1599826931.0007598,1599826931.014722,1599826932.6842885,1599826932.74712,4.432251800000814,Less,low
5,More,Extero,high,More,1.9327010000015437,100.0,0.9068087000014202,40.5,42.5,83.0,1.0,True,True,5,8.632936706484973,10.331513975699828,1599826933.1347213,1599826940.9911911,1599826943.4689353,1599826943.4848914,1599826944.6180975,1599826944.6719515,1.9327010000015437,More,high
6,More,Extero,high,More,1.8488627000006093,100.0,0.640788300002896,20.5,77.0,97.5,1.0,True,True,6,1.204454291414771,10.562480354975085,1599826945.0516825,1599826949.6729186,1599826952.0675824,1599826952.0845375,1599826952.9513767,1599826953.0002449,1.8488627000006093,More,high
7,Less,Extero,low,Less,2.5657690999978517,100.0,1.1363248999987263,-20.5,84.5,64.0,1.0,True,True,7,5.825282268510243,9.363157884637694,1599826953.3682785,1599826957.6421082,1599826960.7535315,1599826960.7724807,1599826962.1356852,1599826962.20653,2.5657690999978517,Less,low
8,More,Intero,high,Less,5.6819058999972185,34.0,2.5175455999997207,0.5,61.5,62.0,0.0,True,True,8,9.540093799063357,9.71140865398237,1599826962.5850651,1599826967.890268,1599826974.1209993,1599826974.1419435,1599826976.8861551,1599826977.0243528,5.6819058999972185,Less,high
9,Less,Extero,low,More,3.8817768000008073,14.0,1.0316531999997096,-0.5,62.0,61.5,0.0,True,True,9,2.187136993458828,9.022094312340363,1599826977.4027677,1599826983.04253,1599826987.4696836,1599826987.4946144,1599826988.7535512,1599826988.8325794,3.8817768000008073,More,low
10,Less,Intero,low,Less,5.614906700000574,20.0,4.0131628999988616,-0.5,60.0,59.5,1.0,True,True,10,13.921274944397545,11.831503961408506,1599826989.20318,1599826994.5126505,1599827000.670535,1599827000.697463,1599827004.93644,1599827005.1895232,5.614906700000574,Less,low
11,More,Extero,high,More,2.4815546000027098,0.0,1.0419215000001714,0.5,90.5,91.0,1.0,True,True,11,-2.057320194440917,11.601687681140955,1599827005.57029,1599827009.6871874,1599827012.722395,1599827012.7523148,1599827014.0200088,1599827014.1137574,2.4815546000027098,More,high
12,Less,Extero,high,Less,3.4643458999998984,87.0,2.3091765999997733,-19.5,45.5,26.0,1.0,True,True,12,0.28605606426372393,10.5627879981935,1599827014.4872744,1599827022.1196544,1599827026.136937,1599827026.1688519,1599827028.704566,1599827028.886653,3.4643458999998984,Less,high
13,Less,Extero,low,Less,2.548803199999384,85.0,1.053650199999538,-12.5,52.5,40.0,1.0,True,True,13,1.6760578530346006,9.685616042659358,1599827029.2544289,1599827036.0083542,1599827039.1064265,1599827039.1423304,1599827040.4213915,1599827040.5266168,2.548803199999384,Less,low
14,More,Intero,low,More,2.048651600001904,81.0,1.2016791999994894,19.5,60.0,79.5,1.0,True,True,14,11.565615368293916,10.921062881374919,1599827040.9054158,1599827046.21765,1599827048.805993,1599827048.8438952,1599827050.271632,1599827050.3975475,2.048651600001904,More,low
15,Less,Extero,low,More,5.031742700000906,15.0,1.2341374999996333,-0.5,55.0,54.5,0.0,True,True,15,0.4734144198082574,8.804409527182939,1599827050.7720046,1599827057.2666712,1599827062.8394694,1599827062.8793626,1599827064.3391044,1599827064.4737482,5.031742700000906,More,low
16,More,Intero,high,More,3.9963240999968552,62.0,0.6963964999995369,12.5,59.5,72.0,1.0,True,True,16,9.920392609932929,10.156627863533373,1599827064.838772,1599827070.153356,1599827074.7076008,1599827074.749489,1599827075.6728427,1599827075.767589,3.9963240999968552,More,high
17,Less,Extero,high,More,3.3636160999994904,4.0,1.8959452000017336,-7.5,97.5,90.0,0.0,True,True,17,-2.36623465861206,11.805297908706214,1599827076.1393914,1599827080.0983438,1599827084.0069876,1599827084.0508704,1599827086.1727972,1599827086.3808146,3.3636160999994904,More,high
18,More,Intero,high,Less,7.015148399997997,38.0,1.6262131999974372,0.5,60.0,60.5,0.0,True,True,18,11.122911704550123,9.45338544894313,1599827086.7562444,1599827092.0765064,1599827099.6409955,1599827099.6878705,1599827101.540235,1599827101.7357428,7.015148399997997,Less,high
19,Less,Extero,low,Less,2.8990274999996477,39.0,1.22311339999942,-7.5,56.0,48.5,1.0,True,True,19,-1.333447543566074,11.118160919238793,1599827102.1067426,1599827108.6342802,1599827112.0758586,1599827112.1247275,1599827113.5741456,1599827113.7391913,2.8990274999996477,Less,low
20,Less,Extero,high,Less,1.6313256000030378,61.0,1.5546095999998215,-19.5,92.0,72.5,1.0,True,True,20,-0.5494561723218516,10.492961023599776,1599827114.1073215,1599827118.3760252,1599827120.5602436,1599827120.6111078,1599827122.3908858,1599827122.5963342,1.6313256000030378,Less,high
21,Less,Extero,low,Less,4.133673199998157,6.0,1.567695399997319,-3.5,74.5,71.0,1.0,True,True,21,1.7944094843264895,12.513659617252154,1599827133.4250743,1599827138.0616767,1599827142.741208,1599827142.7471914,1599827144.5415244,1599827144.5814185,4.133673199998157,Less,low
22,More,Intero,low,More,6.999894299999141,70.0,1.2152224999990722,7.5,60.5,68.0,1.0,True,True,22,10.077481767528948,8.653507039959589,1599827144.9585586,1599827150.2533345,1599827157.7922664,1599827157.8002453,1599827159.2425401,1599827159.2854242,6.999894299999141,More,low
23,Less,Extero,high,Less,1.8164586999992025,64.0,1.1128318000010042,-12.5,73.0,60.5,1.0,True,True,23,4.267512553287462,14.07986508557661,1599827159.6590502,1599827164.430194,1599827166.7932634,1599827166.803237,1599827168.14288,1599827168.1887536,1.8164586999992025,Less,high
24,Less,Intero,low,,,,,-4.5,60.5,56.0,,False,False,24,10.855238853819866,7.9356511874661635,1599827168.5594866,1599827173.8604686,1599827181.9110837,,,1599827182.4404259,,,low
25,More,Intero,high,More,6.166448799998761,45.0,1.6409047000015562,7.5,59.5,67.0,1.0,True,True,25,9.983230955284617,7.241810338020808,1599827182.8096538,1599827188.1122394,1599827194.8278134,1599827194.8437705,1599827196.7107825,1599827196.7885742,6.166448799998761,More,high
26,More,Intero,high,Less,4.41679369999838,59.0,1.5214347000000998,3.5,59.5,63.0,0.0,True,True,26,10.806244784244477,6.731679321491244,1599827197.160778,1599827202.4686625,1599827207.429424,1599827207.446379,1599827209.1941054,1599827209.2768846,4.41679369999838,Less,high
27,More,Intero,low,More,6.4330488000014165,28.0,1.018529999997554,7.5,59.0,66.5,1.0,True,True,27,10.30878765929142,6.063100087825746,1599827209.6606836,1599827214.9670525,1599827221.9461925,1599827221.9671366,1599827223.2116554,1599827223.2807634,6.4330488000014165,More,low
28,More,Extero,low,Less,4.7151685999997435,37.0,2.6482992000019294,0.5,77.0,77.5,0.0,True,True,28,6.712926861129148,15.1734707213099,1599827223.6610422,1599827228.3326778,1599827233.5953088,1599827233.6202426,1599827236.4950066,1599827236.6485958,4.7151685999997435,Less,low
29,More,Intero,low,Less,4.932601799999247,60.0,1.2626283999998122,0.5,62.5,63.0,0.0,True,True,29,11.414500352500633,6.332817049278287,1599827237.0280619,1599827242.337426,1599827247.812978,1599827247.8389087,1599827249.3288474,1599827249.4248304,4.932601799999247,Less,low
30,Less,Extero,high,Less,3.2825402999987996,36.0,1.410908499998186,-5.5,95.0,89.5,1.0,True,True,30,9.124782687573472,15.988805691941016,1599827249.7962599,1599827253.7243652,1599827257.5473502,1599827257.5752757,1599827259.2126195,1599827259.324319,3.2825402999987996,Less,high
31,More,Intero,high,,,,,6.5,61.0,67.5,,False,False,31,12.826315779388779,9.019803317803287,1599827259.6965532,1599827265.008852,1599827273.0475814,,,1599827273.5960314,,,high
32,More,Extero,low,Less,5.198800199999823,57.0,1.4388370999986364,4.5,50.0,54.5,0.0,True,True,32,11.32505235785551,16.51392673897038,1599827273.9628887,1599827280.9725494,1599827286.7151759,1599827286.7484431,1599827288.4134212,1599827288.5470989,5.198800199999823,Less,low
33,More,Extero,high,More,3.1669564000003447,58.0,0.9705079999985172,1.5,90.0,91.5,1.0,True,True,33,10.291335480512863,16.323611855238777,1599827288.9139721,1599827293.1237473,1599827296.84975,1599827296.884164,1599827298.0811186,1599827298.186867,3.1669564000003447,More,high
34,More,Extero,low,More,3.9306173000004487,59.0,1.7655931999979655,8.5,41.5,50.0,1.0,True,True,34,9.406325612653552,16.137695810253412,1599827300.513946,1599827309.0965455,1599827313.583122,1599827313.6220176,1599827315.6143804,1599827315.7934382,3.9306173000004487,More,low
35,More,Intero,low,More,5.014887000001181,60.0,1.015029300000606,4.5,59.0,63.5,1.0,True,True,35,12.39358279912844,8.373623033219467,1599827316.1645482,1599827322.018678,1599827327.5825171,1599827327.6233768,1599827328.8652444,1599827328.9929454,5.014887000001181,More,low
36,More,Intero,high,More,5.498126999998932,71.0,1.5779631000004883,9.5,57.5,67.0,1.0,True,True,36,12.08877723843612,7.821295990983412,1599827329.3648155,1599827334.7143474,1599827340.7663016,1599827340.8111815,1599827342.6153595,1599827342.7948794,5.498126999998932,More,high
37,More,Intero,low,More,5.781149700000242,41.0,2.5256773000000976,1.5,58.5,60.0,1.0,True,True,37,10.597418579928377,10.18894919274801,1599827343.1655393,1599827348.5158596,1599827354.8507292,1599827354.8966064,1599827357.648895,1599827357.9371269,5.781149700000242,More,low
38,Less,Extero,high,Less,5.331214999998338,34.0,1.5523160000011558,-2.5,56.0,53.5,1.0,True,True,38,11.18613337387612,16.528682625267198,1599827358.3166842,1599827364.8862615,1599827370.7680507,1599827370.8209074,1599827372.6000993,1599827372.805127,5.331214999998338,Less,high
39,More,Intero,high,More,7.949409499997272,19.0,1.2650814000007813,7.5,61.0,68.5,1.0,True,True,39,8.911347598839026,12.488201348793963,1599827373.1839645,1599827378.5116985,1599827386.5522425,1599827386.5592241,1599827388.0504599,1599827388.2359972,7.949409499997272,More,high
40,More,Extero,high,More,5.529808100000082,18.0,1.0464991000008013,0.5,73.0,73.5,1.0,True,True,40,10.389414844430725,16.369250804912316,1599827388.6168694,1599827393.8667128,1599827399.9518394,1599827400.009685,1599827401.2844498,1599827401.4520018,5.529808100000082,More,high
41,Less,Intero,low,Less,5.8668089999991935,57.0,1.9005055999987237,-1.5,58.0,56.5,1.0,True,True,41,9.368145348310804,12.051543696546966,1599827413.6678164,1599827418.9694164,1599827425.3859556,1599827425.3919368,1599827427.5187993,1599827427.5636802,5.8668089999991935,Less,low
42,More,Extero,low,More,4.0664002999983495,55.0,2.84636429999955,5.5,58.0,63.5,1.0,True,True,42,9.644791467409481,16.216064031347702,1599827427.9519885,1599827433.7865725,1599827438.403306,1599827438.411285,1599827441.4853127,1599827441.5591161,4.0664002999983495,More,low
43,More,Intero,high,Less,5.583083800000168,63.0,2.1273199999995995,5.5,61.5,67.0,0.0,True,True,43,9.743722442170547,11.640354217000205,1599827441.9362454,1599827447.2333658,1599827453.3701136,1599827453.3820884,1599827455.7360165,1599827455.8088214,5.583083800000168,Less,high
44,More,Intero,low,More,5.016303699998389,31.0,3.3932180000010703,0.5,58.0,58.5,1.0,True,True,44,8.243333674301162,13.508296928272054,1599827456.1864467,1599827461.4881802,1599827467.0530574,1599827467.0670204,1599827470.6871648,1599827470.8108473,5.016303699998389,More,low
45,More,Extero,low,More,7.082388299997548,60.0,1.3062184000009438,2.5,74.0,76.5,1.0,True,True,45,8.982010058858291,16.065334360627226,1599827471.1866212,1599827475.9529846,1599827483.5872028,1599827483.6051545,1599827485.1367805,1599827485.2085881,7.082388299997548,More,low
46,More,Intero,high,Less,7.149872500001947,42.0,0.9375043000000004,6.5,58.5,65.0,0.0,True,True,46,8.624055806091098,13.187277249867842,1599827485.5877812,1599827490.894423,1599827498.5883307,1599827498.6067994,1599827499.7709615,1599827499.8378189,7.149872500001947,Less,high
47,Less,Extero,high,More,4.266045300002588,63.0,1.1673153000010643,-1.5,83.5,82.0,0.0,True,True,47,8.35013234086633,15.922281037221776,1599827500.2217162,1599827504.5746868,1599827509.3883786,1599827509.411315,1599827510.8046944,1599827510.8854494,4.266045300002588,More,high
48,More,Intero,high,More,7.2485493999993205,69.0,1.1955529000006209,7.5,58.5,66.0,1.0,True,True,48,8.286923324297634,12.873007473912633,1599827511.2547045,1599827516.5668926,1599827524.3565485,1599827524.3824785,1599827525.8051677,1599827525.8969223,7.2485493999993205,More,high
49,Less,Extero,low,Less,3.41581159999987,64.0,3.961943800000881,-0.5,69.0,68.5,1.0,True,True,49,8.906295285317713,15.75930649507606,1599827526.272699,1599827531.4584446,1599827535.4225664,1599827535.450492,1599827539.6386313,1599827539.8945172,3.41581159999987,Less,low
50,Less,Extero,high,More,5.915721299999858,13.0,1.5259581999998773,-3.5,94.0,90.5,0.0,True,True,50,8.407103513230055,15.592822528867812,1599827540.2725465,1599827544.2730901,1599827550.740489,1599827550.7704086,1599827552.522877,1599827552.650659,5.915721299999858,More,high
51,Less,Extero,high,Less,3.0330168000000413,100.0,0.6743988000016543,-5.5,84.0,78.5,1.0,True,True,51,8.877212434491463,15.41198182192076,1599827553.0227427,1599827557.4510307,1599827561.023298,1599827561.0562105,1599827561.956672,1599827562.034467,3.0330168000000413,Less,high
52,More,Extero,low,Less,5.5820557000006366,85.0,1.2217679999994289,1.5,60.5,62.0,0.0,True,True,52,10.264947112173322,16.014805453564886,1599827562.406866,1599827568.3294857,1599827574.4581654,1599827574.4930725,1599827575.9401155,1599827576.0629985,5.5820557000006366,Less,low
53,More,Extero,low,More,1.7825773999975354,81.0,0.6688785000005737,3.5,72.0,75.5,1.0,True,True,53,9.820172639821628,15.859133671839508,1599827576.4406786,1599827581.5720632,1599827583.9250345,1599827583.9629335,1599827584.8575196,1599827584.9428105,1.7825773999975354,More,low
54,Less,Extero,high,Less,3.8485037999998895,100.0,1.0494338999997126,-4.5,40.5,36.0,1.0,True,True,54,10.237324831524061,15.703799931150654,1599827585.3239934,1599827593.997972,1599827598.3920953,1599827598.432986,1599827599.7079608,1599827599.8306293,3.8485037999998895,Less,high
55,Less,Intero,low,Less,6.614933599998039,33.0,2.244839899998624,-0.5,60.0,59.5,1.0,True,True,55,8.614252130167461,12.544036838779132,1599827600.2078032,1599827605.5316927,1599827612.6937878,1599827612.7376707,1599827615.20891,1599827615.446274,6.614933599998039,Less,low
56,More,Intero,low,,,,,0.5,63.5,64.0,,False,False,56,9.962773161029826,14.030925813056891,1599827615.8252563,1599827621.1448445,1599827629.193931,,,1599827629.7593846,,,low
57,More,Intero,high,Less,5.465608299997257,13.0,0.8573040000010224,6.5,61.5,68.0,0.0,True,True,57,11.354466274972596,15.152093378386247,1599827630.1423006,1599827635.465841,1599827641.4766386,1599827641.5264993,1599827642.6097937,1599827642.7354605,5.465608299997257,Less,high
58,More,Intero,low,Less,4.597622400000546,40.0,2.4370791999972425,1.5,60.5,62.0,0.0,True,True,58,12.71703482846547,15.929751287827376,1599827643.1093507,1599827648.4348385,1599827653.578162,1599827653.6311607,1599827656.2935448,1599827656.5947394,4.597622400000546,Less,low
59,More,Intero,high,Less,7.646321700001862,15.0,2.3446026999990863,7.5,59.0,66.5,0.0,True,True,59,14.041004276007435,16.498522041217008,1599827656.977228,1599827662.3010461,1599827670.3486614,1599827670.3891218,1599827672.960495,1599827673.2766488,7.646321700001862,Less,high
60,More,Intero,psi,More,4.262963500001206,87.0,0.7128502000014123,24.5,56.0,80.5,1.0,True,True,60,13.584937066691802,16.353391677374198,1599827673.6606102,1599827678.987905,1599827683.7962365,1599827683.8540814,1599827684.7943034,1599827684.9225314,4.262963500001206,More,psi
61,More,Intero,psi,More,3.1663537999993423,100.0,0.6677339000016218,24.5,71.0,95.5,1.0,True,True,61,13.165855691375606,16.20814941975124,1599827689.9782233,1599827695.2750695,1599827698.9951348,1599827699.0011187,1599827699.895019,1599827699.9229445,3.1663537999993423,More,psi
62,More,Extero,psi,Less,4.6333391000007405,50.0,1.2813556000000972,22.5,40.5,63.0,0.0,True,True,62,11.545839407460544,16.284945359745144,1599827700.311614,1599827708.402677,1599827713.5786777,1599827713.5876534,1599827715.0953784,1599827715.1392622,4.6333391000007405,Less,psi
63,More,Intero,psi,More,1.9997784999977741,89.0,0.7796779999989667,24.5,59.5,84.0,1.0,True,True,63,12.77989568676952,16.062932885056266,1599827715.5124743,1599827720.8110628,1599827723.362226,1599827723.3731947,1599827724.3788204,1599827724.4179835,1.9997784999977741,More,psi
64,More,Extero,psi,More,2.049553900000319,94.0,1.6439773999991305,22.5,65.5,88.0,1.0,True,True,64,11.119807528626444,16.143242258003045,1599827724.796509,1599827730.0617802,1599827732.6642118,1599827732.6761794,1599827734.5458493,1599827734.6109488,2.049553900000319,More,psi
65,More,Intero,psi,More,4.715839399999823,89.0,1.2423286999983247,24.5,57.5,82.0,1.0,True,True,65,12.423783542281209,15.917890610303445,1599827734.9793773,1599827740.2787833,1599827745.5464394,1599827745.561369,1599827747.0297918,1599827747.0916634,4.715839399999823,More,psi
66,Less,Intero,psi,Less,5.848859399997308,48.0,1.3893256000010297,-0.5,57.5,57.0,1.0,True,True,66,12.740938143843064,15.765611082115084,1599827747.4637873,1599827752.7681546,1599827759.1651118,1599827759.1820664,1599827760.7969992,1599827760.8723645,5.848859399997308,Less,psi
67,More,Extero,psi,More,1.6660555999987992,86.0,0.9866636999977344,22.5,52.0,74.5,1.0,True,True,67,10.727889563521495,16.0020995275301,1599827761.2468624,1599827767.8166425,1599827770.0320466,1599827770.0519936,1599827771.2645345,1599827771.3303554,1.6660555999987992,More,psi
68,More,Intero,psi,More,1.7817758999990474,95.0,1.0194979000007152,25.5,63.0,88.5,1.0,True,True,68,12.43469907997849,15.609535034719405,1599827771.6974356,1599827777.0027835,1599827779.3311224,1599827779.3520668,1599827780.5976634,1599827780.6694727,1.7817758999990474,More,psi
