,Condition,Modality,StairCond,Estimation,EstimationRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,EstimationProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger,DecisionRT,Decision,TrialType
0,Less,Intero,low,More,4.866481399862097,27.0,2.8955616001039743,-40.5,97.0,56.5,0.0,True,True,0,-18.30212889491616,10.049474514314168,1601646886.7651613,1601646892.0632186,1601646897.4821045,1601646897.4871213,1601646900.6155086,1601646900.6704533,4.866481399862097,More,low
1,Less,Extero,low,Less,3.6498219000641257,100.0,1.3461700000334529,-40.5,62.0,21.5,1.0,True,True,1,18.74234350412591,10.050538125005668,1601646901.0489662,1601646906.6550658,1601646910.849106,1601646910.8571134,1601646912.4325814,1601646912.4759185,3.6498219000641257,Less,low
2,More,Intero,high,More,1.916252400027588,100.0,0.8953271000646055,40.5,95.0,135.5,1.0,True,True,2,-27.80793274320347,9.819970054873579,1601646912.8492105,1601646918.2181313,1601646920.683868,1601646920.6938412,1601646921.8163161,1601646921.8555682,1.916252400027588,More,high
3,More,Extero,high,More,1.7492616998497397,100.0,0.5951527000870556,40.5,98.0,138.5,1.0,True,True,3,8.632936706484973,10.331513975699828,1601646922.232895,1601646926.267345,1601646928.566556,1601646928.5775266,1601646929.3998911,1601646929.436262,1.7492616998497397,More,high
7,Less,Extero,low,Less,1.7659052000381052,100.0,0.5037332000210881,-20.5,59.0,38.5,1.0,True,True,7,15.525312128118761,10.117216235355631,1601646956.7842386,1601646962.645447,1601646964.9519894,1601646964.970756,1601646965.7012634,1601646965.7455485,1.7659052000381052,Less,low
9,More,Extero,high,More,1.4653429999016223,100.0,0.7655056000221521,20.5,66.0,86.5,1.0,True,True,9,11.019118277419066,9.405000577376814,1601646983.0351052,1601646988.3933089,1601646990.4020493,1601646990.4266243,1601646991.4186914,1601646991.484365,1.4653429999016223,More,high
15,More,Extero,low,More,1.797276999801397,100.0,0.9320801000576466,19.5,79.0,98.5,1.0,True,True,15,16.59148825649678,10.906153778978442,1601647060.1211348,1601647064.867625,1601647067.2224367,1601647067.2626731,1601647068.4215386,1601647068.53239,1.797276999801397,More,low
16,Less,Intero,low,More,2.5479992998298258,93.0,1.3133640000596642,-4.5,88.0,83.5,0.0,True,True,16,-28.233990962098748,13.155933224379265,1601647068.9048865,1601647074.2236762,1601647077.322832,1601647077.363108,1601647078.9051294,1601647079.0524387,2.5479992998298258,More,low
17,More,Extero,high,More,2.1993263999465853,92.0,1.0939223999157548,12.5,40.0,52.5,1.0,True,True,17,15.19043404049875,10.076855205331526,1601647079.438493,1601647088.2281506,1601647090.9743428,1601647091.017609,1601647092.3390002,1601647092.4763489,2.1993263999465853,More,high
18,More,Extero,high,Less,2.6799514000304043,19.0,1.675899599911645,0.5,75.5,76.0,0.0,True,True,18,16.324283924575802,9.267526275582078,1601647092.8557575,1601647097.8991413,1601647101.123554,1601647101.169951,1601647103.0726874,1601647103.2717178,2.6799514000304043,Less,high
19,Less,Intero,high,Less,5.5803479000460365,78.0,1.3246689001098275,-19.5,86.5,67.0,1.0,True,True,19,-27.308996824829563,12.711041981088202,1601647103.6394827,1601647108.9601586,1601647115.0908318,1601647115.1388118,1601647116.689791,1601647116.8654199,5.5803479000460365,Less,high
21,Less,Intero,low,More,2.88316690013744,70.0,1.166815600125119,-16.5,89.5,73.0,0.0,True,True,21,-28.15326266099816,12.250834000089315,1601647157.1913078,1601647162.5025597,1601647165.924865,1601647165.9308493,1601647167.3249311,1601647167.3592775,2.88316690013744,More,low
22,More,Extero,low,More,1.6494613999966532,100.0,0.5162583999335766,19.5,96.0,115.5,1.0,True,True,22,18.197628178700427,11.381363619816327,1601647167.741736,1601647171.6235487,1601647173.8251846,1601647173.8321595,1601647174.575291,1601647174.6029902,1.6494613999966532,More,low
24,More,Extero,high,Less,3.3830031000543386,15.0,1.5269563999027014,7.5,55.5,63.0,0.0,True,True,24,20.87343468794679,13.386920241107562,1601647186.3589554,1601647192.4484606,1601647196.3765426,1601647196.3885071,1601647198.1427646,1601647198.2017493,3.3830031000543386,Less,high
25,Less,Intero,high,Less,3.432735700160265,31.0,1.2095542000606656,-12.5,77.0,64.5,1.0,True,True,25,-29.743071597853685,13.408806988362887,1601647198.5759542,1601647203.882296,1601647207.859564,1601647207.8735266,1601647209.3096886,1601647209.3676765,3.432735700160265,Less,high
26,Less,Intero,high,More,4.982569199986756,62.0,1.6908825999125838,-5.5,84.5,79.0,0.0,True,True,26,-31.74407391565507,14.570082865383096,1601647209.7431545,1601647215.0422864,1601647220.576928,1601647220.5925562,1601647222.5102038,1601647222.5920455,4.982569199986756,More,high
27,Less,Intero,low,Less,2.699605300091207,100.0,0.5877682999707758,-40.5,83.0,42.5,1.0,True,True,27,-29.946098556585284,15.355333863449822,1601647222.9768825,1601647228.2810974,1601647231.527251,1601647231.5469494,1601647232.360582,1601647232.4095922,2.699605300091207,Less,low
28,More,Extero,low,More,2.148536500055343,95.0,1.60240270011127,12.5,85.0,97.5,1.0,True,True,28,19.999090698130672,12.929674638391564,1601647232.794059,1601647237.0763795,1601647239.7775545,1601647239.7977676,1601647241.627579,1601647241.71984,2.148536500055343,More,low
29,More,Extero,high,More,2.0821450999937947,78.0,1.6669801999814808,14.5,48.0,62.5,1.0,True,True,29,19.253844935291788,12.495001346189856,1601647242.0943425,1601647249.208548,1601647251.8445613,1601647251.8672378,1601647253.7613535,1601647253.8653088,2.0821450999937947,More,high
30,Less,Intero,low,Less,1.599441200029105,77.0,0.8982500000856817,-33.5,88.0,54.5,1.0,True,True,30,-28.139044801887504,15.876047203983461,1601647254.2447276,1601647259.5528405,1601647261.6959596,1601647261.7206714,1601647262.8450427,1601647262.918773,1.599441200029105,Less,low
31,More,Extero,low,More,2.5155084000434726,58.0,2.913320800056681,5.5,62.5,68.0,1.0,True,True,31,16.938398433674447,14.060323663241006,1601647263.3117476,1601647268.9608688,1601647272.0287228,1601647272.0552561,1601647275.19552,1601647275.3838768,2.5155084000434726,More,low
32,Less,Intero,high,More,2.214529599994421,25.0,1.5929916999302804,-9.5,87.0,77.5,0.0,True,True,32,-28.943446663809446,15.719496301869965,1601647275.762112,1601647281.0682445,1601647283.8299687,1601647283.8587327,1601647285.6792266,1601647285.805737,2.214529599994421,More,high
33,More,Extero,high,More,2.298315200023353,73.0,1.3245850999373945,10.5,68.5,79.0,1.0,True,True,33,14.714427383986829,15.0594271494041,1601647286.179282,1601647291.45606,1601647294.2971466,1601647294.328384,1601647295.879491,1601647295.9952376,2.298315200023353,More,high
34,Less,Intero,low,More,3.7652439998928457,4.0,1.422394199995324,-26.5,97.5,71.0,0.0,True,True,34,-30.57945396022672,16.159449244544835,1601647296.396242,1601647301.707351,1601647306.0141375,1601647306.0485234,1601647307.6966414,1601647307.8282402,3.7652439998928457,More,low
35,Less,Intero,high,Less,4.615036299917847,8.0,1.8195796001236888,-13.5,86.5,73.0,1.0,True,True,35,-29.909057845865213,16.004863568477198,1601647308.2133536,1601647313.5263276,1601647318.6823163,1601647318.7175894,1601647320.7637475,1601647320.9334846,4.615036299917847,Less,high
38,More,Extero,high,More,1.9145504999905825,33.0,1.7291534000542017,6.5,84.5,91.0,1.0,True,True,38,12.58300632945151,15.779987180002555,1601647341.1144984,1601647345.6000035,1601647348.0657654,1601647348.10801,1601647350.0646982,1601647350.2530482,1.9145504999905825,More,high
41,More,Extero,high,More,2.16651999996975,41.0,2.5014190999791026,2.5,82.0,84.5,1.0,True,True,41,12.345998739867039,15.90514908095774,1601647408.4334195,1601647412.7053347,1601647415.4179776,1601647415.4229634,1601647418.1504116,1601647418.1994946,2.16651999996975,More,high
45,Less,Intero,low,Less,2.882228299975395,89.0,1.4243470998480916,-31.5,87.0,55.5,1.0,True,True,45,-29.3804884980969,15.09942087665025,1601647460.618583,1601647465.9229653,1601647469.3523972,1601647469.3689828,1601647471.0189946,1601647471.0887294,2.882228299975395,Less,low
48,Less,Extero,high,Less,2.9484451999887824,74.0,0.8839041998144239,-5.5,86.5,81.0,1.0,True,True,48,10.482144625249173,16.406065014316905,1601647498.1532981,1601647502.3701642,1601647505.8712974,1601647505.892911,1601647507.0037494,1601647507.0743027,2.9484451999887824,Less,high
49,Less,Extero,high,Less,3.748688699910417,19.0,0.8965475999284536,-2.5,91.5,89.0,1.0,True,True,49,11.085993363576016,16.269039812193395,1601647507.4537532,1601647511.7813811,1601647516.0715454,1601647516.0972586,1601647517.220708,1601647517.2944038,3.748688699910417,Less,high
50,Less,Intero,high,Less,6.199025699868798,25.0,1.1624692000914365,-9.5,88.5,79.0,1.0,True,True,50,-27.955833474550253,15.821049653550851,1601647517.6707134,1601647522.9768612,1601647529.7209995,1601647529.7487652,1601647531.1378818,1601647531.234045,6.199025699868798,Less,high
51,Less,Intero,high,More,2.832697300007567,37.0,1.0921245000790805,-8.5,88.0,79.5,0.0,True,True,51,-28.401016073298692,15.651778313503726,1601647531.6212068,1601647536.9293187,1601647540.3059134,1601647540.3370779,1601647541.6549332,1601647541.7510386,2.832697300007567,More,high
52,More,Extero,low,Less,2.6663144000340253,29.0,0.6743770998436958,5.5,60.0,65.5,0.0,True,True,52,11.667262507442567,16.138604096636833,1601647542.1382055,1601647548.068157,1601647551.2728586,1601647551.3042355,1601647552.2052536,1601647552.2818062,2.6663144000340253,Less,low
53,More,Extero,low,More,2.847425499930978,75.0,1.2874862998723984,7.5,66.5,74.0,1.0,True,True,53,11.149256130196157,15.988248598483946,1601647552.6552312,1601647558.0898035,1601647561.4898362,1601647561.5251882,1601647563.0389395,1601647563.1646388,2.847425499930978,More,low
55,More,Extero,low,Less,2.334935599938035,55.0,1.881879199994728,6.5,90.0,96.5,0.0,True,True,55,11.11239389527153,15.668669568671785,1601647576.9894867,1601647581.225922,1601647584.1240535,1601647584.1643827,1601647586.2731411,1601647586.4584973,2.334935599938035,Less,low
