Subject,Modality,Session,nR_S1,nR_S2
sub_0019,Extero,Del1,6,0
sub_0019,Extero,Del1,12,0
sub_0019,Extero,Del1,5,4
sub_0019,Extero,Del1,8,3
sub_0019,Extero,Del1,7,2
sub_0019,Extero,Del1,1,10
sub_0019,Extero,Del1,0,8
sub_0019,Extero,Del1,0,14
sub_0019,Intero,Del1,6,7
sub_0019,Intero,Del1,3,8
sub_0019,Intero,Del1,1,4
sub_0019,Intero,Del1,1,6
sub_0019,Intero,Del1,0,6
sub_0019,Intero,Del1,0,9
sub_0019,Intero,Del1,0,4
sub_0019,Intero,Del1,0,2
sub_0020,Extero,Del1,8,0
sub_0020,Extero,Del1,6,3
sub_0020,Extero,Del1,4,6
sub_0020,Extero,Del1,2,10
sub_0020,Extero,Del1,2,6
sub_0020,Extero,Del1,3,6
sub_0020,Extero,Del1,1,11
sub_0020,Extero,Del1,0,12
sub_0020,Intero,Del1,10,0
sub_0020,Intero,Del1,11,0
sub_0020,Intero,Del1,7,0
sub_0020,Intero,Del1,9,0
sub_0020,Intero,Del1,7,0
sub_0020,Intero,Del1,10,0
sub_0020,Intero,Del1,5,1
sub_0020,Intero,Del1,5,4
sub_0022,Extero,Del1,18,0
sub_0022,Extero,Del1,8,0
sub_0022,Extero,Del1,6,0
sub_0022,Extero,Del1,4,3
sub_0022,Extero,Del1,6,4
sub_0022,Extero,Del1,1,9
sub_0022,Extero,Del1,0,10
sub_0022,Extero,Del1,0,10
sub_0022,Intero,Del1,8,0
sub_0022,Intero,Del1,8,1
sub_0022,Intero,Del1,7,0
sub_0022,Intero,Del1,11,0
sub_0022,Intero,Del1,4,2
sub_0022,Intero,Del1,4,5
sub_0022,Intero,Del1,0,8
sub_0022,Intero,Del1,0,10
sub_0023,Extero,Del1,7,1
sub_0023,Extero,Del1,7,6
sub_0023,Extero,Del1,4,4
sub_0023,Extero,Del1,4,6
sub_0023,Extero,Del1,4,6
sub_0023,Extero,Del1,4,7
sub_0023,Extero,Del1,1,7
sub_0023,Extero,Del1,0,12
sub_0023,Intero,Del1,8,1
sub_0023,Intero,Del1,6,0
sub_0023,Intero,Del1,13,0
sub_0023,Intero,Del1,6,1
sub_0023,Intero,Del1,9,1
sub_0023,Intero,Del1,5,0
sub_0023,Intero,Del1,6,5
sub_0023,Intero,Del1,6,4
sub_0024,Extero,Del1,8,2
sub_0024,Extero,Del1,7,8
sub_0024,Extero,Del1,2,8
sub_0024,Extero,Del1,1,14
sub_0024,Extero,Del1,3,2
sub_0024,Extero,Del1,1,6
sub_0024,Extero,Del1,0,7
sub_0024,Extero,Del1,0,11
sub_0024,Intero,Del1,10,1
sub_0024,Intero,Del1,7,3
sub_0024,Intero,Del1,4,2
sub_0024,Intero,Del1,6,4
sub_0024,Intero,Del1,0,7
sub_0024,Intero,Del1,1,8
sub_0024,Intero,Del1,0,7
sub_0024,Intero,Del1,0,7
sub_0025,Extero,Del1,14,0
sub_0025,Extero,Del1,10,0
sub_0025,Extero,Del1,4,1
sub_0025,Extero,Del1,7,4
sub_0025,Extero,Del1,5,4
sub_0025,Extero,Del1,3,10
sub_0025,Extero,Del1,3,9
sub_0025,Extero,Del1,0,6
sub_0025,Intero,Del1,9,0
sub_0025,Intero,Del1,6,0
sub_0025,Intero,Del1,10,0
sub_0025,Intero,Del1,12,0
sub_0025,Intero,Del1,6,0
sub_0025,Intero,Del1,7,0
sub_0025,Intero,Del1,10,0
sub_0025,Intero,Del1,8,3
sub_0026,Extero,Del1,17,0
sub_0026,Extero,Del1,7,0
sub_0026,Extero,Del1,6,2
sub_0026,Extero,Del1,6,4
sub_0026,Extero,Del1,3,5
sub_0026,Extero,Del1,4,10
sub_0026,Extero,Del1,0,12
sub_0026,Extero,Del1,0,4
sub_0026,Intero,Del1,6,2
sub_0026,Intero,Del1,9,0
sub_0026,Intero,Del1,7,0
sub_0026,Intero,Del1,10,0
sub_0026,Intero,Del1,2,4
sub_0026,Intero,Del1,0,10
sub_0026,Intero,Del1,4,3
sub_0026,Intero,Del1,1,8
sub_0027,Extero,Del1,6,0
sub_0027,Extero,Del1,8,0
sub_0027,Extero,Del1,11,1
sub_0027,Extero,Del1,4,7
sub_0027,Extero,Del1,0,7
sub_0027,Extero,Del1,0,9
sub_0027,Extero,Del1,0,12
sub_0027,Extero,Del1,0,14
sub_0027,Intero,Del1,5,0
sub_0027,Intero,Del1,5,1
sub_0027,Intero,Del1,11,1
sub_0027,Intero,Del1,11,2
sub_0027,Intero,Del1,4,0
sub_0027,Intero,Del1,4,1
sub_0027,Intero,Del1,5,6
sub_0027,Intero,Del1,2,10
sub_0028,Extero,Del1,19,1
sub_0028,Extero,Del1,5,1
sub_0028,Extero,Del1,6,0
sub_0028,Extero,Del1,7,3
sub_0028,Extero,Del1,2,0
sub_0028,Extero,Del1,5,0
sub_0028,Extero,Del1,6,2
sub_0028,Extero,Del1,11,12
sub_0028,Intero,Del1,25,0
sub_0028,Intero,Del1,3,0
sub_0028,Intero,Del1,3,0
sub_0028,Intero,Del1,5,0
sub_0028,Intero,Del1,2,0
sub_0028,Intero,Del1,4,2
sub_0028,Intero,Del1,6,0
sub_0028,Intero,Del1,17,1
sub_0029,Extero,Del1,11,5
sub_0029,Extero,Del1,6,0
sub_0029,Extero,Del1,10,6
sub_0029,Extero,Del1,0,0
sub_0029,Extero,Del1,0,0
sub_0029,Extero,Del1,1,3
sub_0029,Extero,Del1,0,5
sub_0029,Extero,Del1,3,30
sub_0029,Intero,Del1,16,0
sub_0029,Intero,Del1,9,0
sub_0029,Intero,Del1,5,0
sub_0029,Intero,Del1,2,2
sub_0029,Intero,Del1,5,0
sub_0029,Intero,Del1,2,2
sub_0029,Intero,Del1,0,1
sub_0029,Intero,Del1,8,15
sub_0030,Extero,Del1,17,0
sub_0030,Extero,Del1,13,0
sub_0030,Extero,Del1,3,1
sub_0030,Extero,Del1,4,3
sub_0030,Extero,Del1,3,9
sub_0030,Extero,Del1,5,11
sub_0030,Extero,Del1,3,5
sub_0030,Extero,Del1,0,3
sub_0030,Intero,Del1,3,1
sub_0030,Intero,Del1,10,4
sub_0030,Intero,Del1,5,4
sub_0030,Intero,Del1,4,9
sub_0030,Intero,Del1,2,4
sub_0030,Intero,Del1,1,9
sub_0030,Intero,Del1,2,3
sub_0030,Intero,Del1,0,16
sub_0031,Extero,Del1,9,5
sub_0031,Extero,Del1,2,9
sub_0031,Extero,Del1,2,9
sub_0031,Extero,Del1,6,3
sub_0031,Extero,Del1,3,7
sub_0031,Extero,Del1,4,6
sub_0031,Extero,Del1,1,8
sub_0031,Extero,Del1,0,6
sub_0031,Intero,Del1,11,0
sub_0031,Intero,Del1,6,0
sub_0031,Intero,Del1,11,0
sub_0031,Intero,Del1,7,0
sub_0031,Intero,Del1,10,0
sub_0031,Intero,Del1,6,0
sub_0031,Intero,Del1,11,0
sub_0031,Intero,Del1,4,2
sub_0032,Extero,Del1,3,0
sub_0032,Extero,Del1,10,0
sub_0032,Extero,Del1,12,0
sub_0032,Extero,Del1,10,3
sub_0032,Extero,Del1,6,1
sub_0032,Extero,Del1,1,6
sub_0032,Extero,Del1,0,11
sub_0032,Extero,Del1,0,17
sub_0032,Intero,Del1,8,0
sub_0032,Intero,Del1,8,0
sub_0032,Intero,Del1,8,0
sub_0032,Intero,Del1,6,1
sub_0032,Intero,Del1,7,1
sub_0032,Intero,Del1,9,0
sub_0032,Intero,Del1,8,0
sub_0032,Intero,Del1,6,2
sub_0034,Extero,Del1,19,0
sub_0034,Extero,Del1,10,0
sub_0034,Extero,Del1,3,1
sub_0034,Extero,Del1,6,0
sub_0034,Extero,Del1,4,2
sub_0034,Extero,Del1,2,6
sub_0034,Extero,Del1,0,3
sub_0034,Extero,Del1,3,21
sub_0034,Intero,Del1,5,0
sub_0034,Intero,Del1,5,1
sub_0034,Intero,Del1,11,0
sub_0034,Intero,Del1,9,3
sub_0034,Intero,Del1,4,0
sub_0034,Intero,Del1,2,3
sub_0034,Intero,Del1,2,8
sub_0034,Intero,Del1,5,6
sub_0035,Extero,Del1,13,1
sub_0035,Extero,Del1,5,2
sub_0035,Extero,Del1,5,3
sub_0035,Extero,Del1,5,7
sub_0035,Extero,Del1,1,7
sub_0035,Extero,Del1,1,10
sub_0035,Extero,Del1,2,9
sub_0035,Extero,Del1,0,9
sub_0035,Intero,Del1,6,1
sub_0035,Intero,Del1,6,0
